"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"skipped","Tue Jun 17 07:26:45 UTC 2025","Tue Jun 17 07:26:45 UTC 2025","22","","Тест localhost+structure","","Тест localhost+structure","","Тест localhost+structure",""
"passed","Tue Jun 17 07:26:33 UTC 2025","Tue Jun 17 07:26:33 UTC 2025","3","","Юнит-тесты HandlerTest","","unitTests.handlers.HandlerTest","testHandle_withParam200_shouldReturnJson","200 - Тест с параметром 200",""
"skipped","Tue Jun 17 07:26:45 UTC 2025","Tue Jun 17 07:26:45 UTC 2025","3","","Тест web+selenide","","Проверка заголовка сайта","","Проверка заголовка сайта",""
"passed","Tue Jun 17 07:26:33 UTC 2025","Tue Jun 17 07:26:33 UTC 2025","1","","Юнит-тесты Settings","","unitTests.settings.SettingsTest","testGetPort_shouldReturnCorrectPort","Проверка наличия порта 8080",""
"skipped","Tue Jun 17 07:26:45 UTC 2025","Tue Jun 17 07:26:45 UTC 2025","2","","Тест localhost+structure","","Тест localhost+structure","","Тест localhost+structure",""
"passed","Tue Jun 17 07:26:43 UTC 2025","Tue Jun 17 07:26:45 UTC 2025","1763","","Тест API","","Проверка GET запроса","","Проверка GET запроса",""
"skipped","Tue Jun 17 07:26:45 UTC 2025","Tue Jun 17 07:26:45 UTC 2025","2","","Тест localhost+structure","","Тест localhost+structure","","Тест localhost+structure",""
"passed","Tue Jun 17 07:26:33 UTC 2025","Tue Jun 17 07:26:33 UTC 2025","1","","Юнит-тесты Settings","","unitTests.settings.SettingsTest","testGetHost_shouldReturnCorrectHost","Проверка наличия localhost",""
"skipped","Tue Jun 17 07:26:45 UTC 2025","Tue Jun 17 07:26:45 UTC 2025","2","","Тест web+selenide","","Проверка заголовка сайта","","Проверка заголовка сайта",""
"passed","Tue Jun 17 07:26:33 UTC 2025","Tue Jun 17 07:26:33 UTC 2025","121","","Юнит-тесты HandlerTest","","unitTests.handlers.HandlerTest","testHandle_withoutParam_shouldReturnJson","200 - Тест без параметра",""
"passed","Tue Jun 17 07:26:33 UTC 2025","Tue Jun 17 07:26:33 UTC 2025","13","","Юнит-тесты HandlerTest","","unitTests.handlers.HandlerTest","testHandle_withUnknownQueryParams_shouldReturnJson","500 - Тест с неизвестным параметром",""
"passed","Tue Jun 17 07:26:33 UTC 2025","Tue Jun 17 07:26:33 UTC 2025","7","","Юнит-тесты HandlerTest","","unitTests.handlers.HandlerTest","testHandle_withParam500_shouldReturnErrorResponse","500 - Тест с параметром 500",""
